Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards
1947;56.0;Hawk of Powder River;Western;Dean, Eddie;Holt, Jennifer;Taylor, Ray;61.0;No
1928;148.0;Tempest;Drama;Barrymore, John;Horn, Camilla;Taylor, Sam;33.0;No
1986;90.0;Running Mates;Drama;Webb, Greg;Howard, Barbara;Neff, Thomas L.;63.0;No
1987;105.0;Prettykill;Drama;Birney, David;Hubley, Season;Kaczender, George;71.0;No
1934;80.0;Judge Priest;Drama;Rogers, Will;Hudson, Rochelle;Ford, John;9.0;No
1950;104.0;Harvey;Comedy;Stewart, James;Hull, Josephine;Koster, Henry;42.0;No
1991;89.0;If Looks Could Kill;Action;Grieco, Richard;Hunt, Linda;Wilmington, Michael;10.0;No
1987;94.0;Raising Arizona;Comedy;Cage, Nicolas;Hunter, Holly;Coen, Joel;23.0;No
1989;114.0;Once Around;Comedy;Dreyfuss, Richard;Hunter, Holly;Hallstrm, Lasse;68.0;No
1980;110.0;Loulou;Drama;Depardieu, Grard;Huppert, Isabelle;Pialat, Maurice;65.0;No
1982;136.0;World According to Garp, The;Drama;Williams, Robin;Hurt, Mary Beth;Hill, George Roy;59.0;No
1980;106.0;Virus;Science Fiction;Kennedy, George;Hussey, Olivia;Fukasaku, Kinji;62.0;No
1940;127.0;Northwest Passage;Action;Tracy, Spencer;Hussey, Ruth;Vidor, King;51.0;No
1987;112.0;Gardens of Stone;Drama;Caan, James;Huston, Anjelica;Coppola, Francis Ford;27.0;No
1989;121.0;Enemies, a Love Story;Drama;Silver, Ron;Huston, Anjelica;Mazursky, Paul;5.0;No
1992;102.0;Addams Family, The;Comedy;Julia, Raul;Huston, Anjelica;Sonnenfeld, B.;8.0;No
1932;65.0;Freaks;Horror;Ford, Wallace;Hyams, Leila;Browning, Tod;61.0;No
1991;108.0;Necessary Roughness;Comedy;Bakula, Scott;Ireland, Kathy;Dragoti, Stan;60.0;No
1990;93.0;A Show of Force;Drama;Garcia, Andy;Irving, Amy;Barreto, Bruno;1.0;No
1980;129.0;Competition, The;Drama;Dreyfuss, Richard;Irving, Amy;Oliansky, Joel;45.0;No
1988;97.0;Crossing Delancey;Comedy;Riegert, Peter;Irving, Amy;Silver, Joan Micklin;6.0;No
1982;120.0;State of Things, The;Drama;Kime, Jeffrey;Weingarten, Isabelle;Wenders, Wim;73.0;No
1987;89.0;Business As Usual;Comedy;Thaw, John;Jackson, Glenda;Barrett, Lezli-An;17.0;No
1973;103.0;A Touch of Class;Comedy;Segal, George;Jackson, Glenda;Frank, Melvin;79.0;Yes
1970;129.0;Women in Love.;Drama;Bates, Alan;Jackson, Glenda;Russell, Ken;18.0;No
1988;89.0;Salome's Last Dance;Comedy;Johns, Stratford;Jackson, Glenda;Russell, Ken;76.0;No
1986;100.0;Casino;Mystery;Connors, Mike;Jackson, Sherry;Chaffey, Don;5.0;No
1955;108.0;Smiles of a Summer Night;Comedy;Bjrnstrand, Gunnar;Jacobsson, Ulla;Bergman, Ingmar;58.0;No
1989;90.0;New Year's Day;Comedy;Jaglom, Henry;Jakobsen, Maggie;Jaglom, Henry;88.0;No
1981;132.0;Mephisto;Drama;Brandauer, Klaus Maria;Janda, Krystyna;Szab, Istvn;80.0;Yes
1927;60.0;Easy Virtue;Mystery;Dyall, Franklin;Jeans, Isabel;Hitchcock, Alfred;45.0;No
1991;83.0;Strictly Business;Comedy;Davidson, Tommy;Johnson, Anne-Marie;Hooks, Kevin;3.0;No
1983;90.0;Blame It on Rio;Comedy;Caine, Michael;Johnson, Michelle;Donen, Stanley;10.0;No
1987;86.0;Straight to Hell;Action;Hopper, Dennis;Jones, Grace;Cox, Alex;47.0;No
1986;100.0;American Anthem;Drama;Gaylord, Mitch;Jones, Janet;Magnoli, Albert;74.0;No
1963;99.0;Bedtime Story;Comedy;Brando, Marlon;Jones, Shirley;Levy, Ralph;7.0;No
1988;102.0;Night Train to Katmandu, THe;Action;Roberts, Pernell;Jovovich, Milla;Wiemer, Robert;43.0;No
1948;100.0;Port of Call;Drama;Eklund, Bengt;Jnsson, Nine-Christine;Bergman, Ingmar;29.0;No
1973;103.0;Paper Moon;Comedy;O'Neal, Ryan;Kahn, Madeline;Bogdanovich, Peter;3.0;Yes
1983;97.0;Yellowbeard;Comedy;Chapman, Graham;Kahn, Madeline;Damski, Mel;34.0;No
1975;91.0;Adventures of Sherlock Holmes' Smarter;Comedy;Wilder, Gene;Kahn, Madeline;Wilder, Gene;42.0;No
1990;108.0;Flashback;Comedy;Hopper, Dennis;Kane, Carol;Amurri, Franco;19.0;No
1977;89.0;World's Greatest Lover, The;Comedy;Wilder, Gene;Kane, Carol;Wilder, Gene;42.0;No
1955;67.0;Killer's Kiss;Mystery;Silvera, Frank;Kane, Irene;Kubrick, Stanley;66.0;No
1988;103.0;Deceivers, The;Action;Brosnan, Pierce;Kapoor, Shashi;Meyer, Nicholas;14.0;No
1983;97.0;Breathless;Action;Gere, Richard;Kaprisky, Valerie;McBride, Jim;51.0;No
1989;145.0;Born on the Fourth of July;Drama;Cruise, Tom;Kava, Caroline;Stone, Oliver;8.0;Yes
1991;120.0;Awakenings;Drama;De Niro, Robert;Kavner, Julie;Marshall, Penny;8.0;No
1977;94.0;Annie Hall;Comedy;Allen, Woody;Keaton, Diane;Allen, Woody;68.0;Yes
1979;96.0;Manhattan;Comedy;Allen, Woody;Keaton, Diane;Allen, Woody;82.0;Yes
1981;195.0;Reds;Drama;Beatty, Warren;Keaton, Diane;Beatty, Warren;76.0;Yes
1986;105.0;Crimes of the Heart;Comedy;Shepard, Sam;Keaton, Diane;Beresford, Bruce;84.0;No
1977;136.0;Looking for Mr. Goodbar;Drama;Atherton, William;Keaton, Diane;Brooks, Richard;54.0;No
1972;175.0;Godfather, The;Drama;Brando, Marlon;Keaton, Diane;Coppola, Francis Ford;8.0;Yes
1974;201.0;Godfather, Pt 2., The;Drama;Pacino, Al;Keaton, Diane;Coppola, Francis Ford;8.0;Yes
1976;109.0;I Will, I Will...For Now;Comedy;Gould, Elliott;Keaton, Diane;Panama, Norman;6.0;No
1972;86.0;Play It Again, Sam;Comedy;Allen, Woody;Keaton, Diane;Ross, Herbert;81.0;No
1970;130.0;Fellini Satyricon;Drama;Potter, Martin;Keller, Hiram;Fellini, Federico;88.0;No
1980;117.0;Formula, The;Mystery;Scott, George C.;Keller, Marthe;Avildsen, John G.;82.0;No
1977;143.0;Black Sunday;Drama;Shaw, Robert;Keller, Marthe;Frankenheimer, John;76.0;No
1977;124.0;Bobby Deerfield;Drama;Pacino, Al;Keller, Marthe;Pollack, Sydney;36.0;No
1972;98.0;Last of the Red Hot Lovers;Comedy;Arkin, Alan;Kellerman, Sally;Saks, Gene;40.0;No
1953;116.0;Mogambo;Action;Gable, Clark;Kelly, Grace;Ford, John;71.0;No
1955;103.0;To Catch a Thief;Mystery;Grant, Cary;Kelly, Grace;Hitchcock, Alfred;69.0;No
1954;113.0;Rear Window;Mystery;Stewart, James;Kelly, Grace;Hitchcock, Alfred;25.0;No
1945;69.0;Woman Who Came Back;Drama;Kruger, Otto;Kelly, Nancy;Colmes, Walter;26.0;No
1939;101.0;Stanley & Livingstone;Action;Tracy, Spencer;Kelly, Nancy;King, Henry;11.0;No
1956;129.0;Bad Seed, The;Horror;Jones, Henry;Kelly, Nancy;LeRoy, Mervyn;69.0;No
1989;113.0;Lethal Weapon 2;Action;Gibson, Mel;Kensit, Patsy;Donner, Richard;69.0;No
1992;79.0;Blame It on the Bellboy;Comedy;Moore, Dudley;Kensit, Patsy;Herman, Mark;69.0;No
1978;145.0;Superman, The Movie;Action;Brando, Marlon;Kidder, Margot;Donner, Richard;87.0;No
1987;90.0;Superman IV: The Quest for Peace;Action;Reeve, Christopher;Kidder, Margot;Furie, Sidney J.;77.0;No
1970;90.0;Quackser Fortune Has a Cousin in the Bronx;Comedy;Wilder, Gene;Kidder, Margot;Waris, Hussein;49.0;No
1989;96.0;Dead Calm;Mystery;Neill, Sam;Kidman, Nicole;Noyce, Phillip;1.0;No
1990;107.0;Days of Thunder;Action;Cruise, Tom;Kidman, Nicole;Scott, Tony;3.0;No
1987;101.0;My Life As a Dog;Comedy;Glanzelius, Anton;Kinnaman, Melinda;Hallstrm, Lasse;21.0;No
1984;150.0;Paris, Texas;Drama;Stanton, Harry Dean;Kinski, Nastassia;Wenders, Wim;27.0;No
1984;96.0;Unfaithfully Yours;Comedy;Moore, Dudley;Kinski, Nastassia;Zieff, Howard;73.0;No
1987;95.0;Bullseye!;Comedy;Caine, Michael;Kirkland, Sally;Winner, Michael;8.0;No
1989;104.0;Erik the Viking;Action;Robbins, Tim;Kitt, Eartha;Jones, Terry;25.0;No
1987;90.0;Dragonard;Drama;Reed, Oliver;Kitt, Eartha;Kikoine, Gerard;71.0;No
1986;90.0;Hard Choices;Drama;McCleery, Gary;Klenck, Margaret;King, Rick;41.0;No
1969;102.0;Rain People, The;Drama;Caan, James;Knight, Shirley;Coppola, Francis Ford;78.0;No
1984;106.0;A Year of the Quiet Sun;Drama;Wilson, Scott;Komorowska, Maja;Zanussi, Krzystoff;78.0;No
1935;54.0;Desert Trail, The;Western;Wayne, John;Kornman, Mary;Collins, Lewis D.;50.0;No
1990;98.0;Almost an Angel;Comedy;Hogan, Paul;Kozlowski, Linda;Cornell, John;14.0;No
1986;98.0;Crocodile Dundee;Comedy;Hogan, Paul;Kozlowski, Linda;Faiman, Peter;66.0;No
1977;127.0;American Friend, The;Mystery;Hopper, Dennis;Kreuzer, Lisa;Wenders, Wim;35.0;No
1989;119.0;See You in the Morning;Drama;Bridges, Jeff;Krige, Alice;Pakula, Alan J.;53.0;No
1987;88.0;Arrogant, The;Drama;Graham, Gary;Kristel, Sylvia;Blot, Philippe;62.0;No
1989;86.0;Dracula's Widow;Horror;Sommer, Josef;Kristel, Sylvia;Coppola, Christopher;55.0;No
1987;90.0;Ninja Masters of Death;Action;Peterson, Chris;Kruize, Kelly;Lambert, Bruce;15.0;No
1990;110.0;Mystery Train;Comedy;Nagase, Masatoshi;Kudoh, Youki;Jarmusch, Jim;23.0;No
1978;114.0;Go Tell the Spartans;War;Lancaster, Burt;Kumagai, Denice;Post, Ted;67.0;No
1986;89.0;True Stories;Comedy;Goodman, John;Kurtz, Swoosie;Byrne, David;79.0;No
1953;94.0;Ugetsu Monogatari;Drama;Mori, Masayuki;Ky, Machiki;Mizoguchi, Kenji;82.0;No
1969;80.0;Rebel Rousers;Action;Nicholson, Jack;Ladd, Diane;Cohen, Martin B.;44.0;No
1988;98.0;Plain Clothes;Comedy;Howard, Arliss;Ladd, Diane;Coolidge, Martha;4.0;No
1981;119.0;Whose Life Is It, Anyway?;Drama;Dreyfuss, Richard;Lahti, Christine;Badham, John;62.0;No
1988;116.0;Running on Empty;Drama;Hirsch, Judd;Lahti, Christine;Lumet, Sidney;2.0;No
1990;101.0;Funny about Love;Comedy;Wilder, Gene;Lahti, Christine;Nimoy, Leonard;60.0;No
1985;118.0;A Chorus Line, The Movie;Music;Douglas, Michael;Landers, Audrey;Attenborough, Richard;71.0;No
1986;84.0;Stewardess School;Comedy;Most, Donald;Landers, Judy;Blancato, Ken;28.0;No
1987;109.0;Big Town, The;Drama;Dillon, Matt;Lane, Diane;Bolt, Ben;11.0;No
1983;94.0;Rumble Fish;Drama;Dillon, Matt;Lane, Diane;Coppola, Francis Ford;4.0;No
1983;91.0;Outsiders, The;Drama;Howell, C. Thomas;Lane, Diane;Coppola, Francis Ford;56.0;No
1990;94.0;Priceless Beauty;Science Fiction;Lambert, Christopher;Lane, Diane;Finch, Charles;7.0;No
1989;93.0;Streets of Fire;Action;Par, Michael;Lane, Diane;Hill, Walter;65.0;No
1990;115.0;Men Don't Leave;Drama;Howard, Arliss;Lange, Jessica;Brickman, Paul;66.0;No
1988;127.0;Everybody's All American;Romance;Quaid, Dennis;Lange, Jessica;Hackford, Taylor;62.0;No
1992;128.0;Cape Fear;Mystery;De Niro, Robert;Lange, Jessica;Scorsese, Martin;7.0;No
1949;58.0;Crashing Thru;Western;Wilson, Whip;Larson, Christine;Taylor, Ray;19.0;No
1978;109.0;Get Out Your Handkerchiefs;Comedy;Depardieu, Grard;Laure, Carole;Blier, Bertrand;78.0;Yes
1971;137.0;Boy Friend, THe;Music;Gable, Christopher;Lawson, Twiggy;Russell, Ken;8.0;No
1990;100.0;Hard To Kill;Action;Seagal, Steven;LeBrock, Kelly;Malmuth, Bruce;49.0;No
1960;109.0;Psycho;Horror;Perkins, Anthony;Leigh, Janet;Hitchcock, Alfred;56.0;No
1957;112.0;Jet Pilot;Action;Wayne, John;Leigh, Janet;Sternberg, Josef von;43.0;No
1987;95.0;Under Cover;Mystery;Neidorf, David;Leigh, Jennifer Jason;Stockwell, John;36.0;No
1951;122.0;A Streetcar Named Desire;Drama;Brando, Marlon;Leigh, Vivien;Kazan, Elia;75.0;Yes
1986;93.0;Golden Child, The;Comedy;Murphy, Eddie;Lewis, Charlotte;Ritchie, Michael;86.0;No
1971;84.0;Statue, The;Drama;Niven, David;Lisi, Virna;Amateau, Rod;80.0;No
1985;128.0;Christopher Columbus;Drama;Byrne, Gabriel;Lisi, Virna;Lattuada, Alberto;69.0;No
1989;116.0;In Country;Drama;Willis, Bruce;Lloyd, Emily;Jewison, Norman;76.0;No
1978;132.0;Wild Geese, The;Action;Burton, Richard;Lloyd, Rosalind;McLaglen, Andrew V.;21.0;No
1974;90.0;Second Coming of Suzanne., The;Drama;Dreyfuss, Richard;Locke, Sondra;Barry, Michael;21.0;No
1980;116.0;Bronco Billy;Westerns;Eastwood, Clint;Locke, Sondra;Eastwood, Clint;57.0;No
1977;109.0;Gauntlet, The;Action;Eastwood, Clint;Locke, Sondra;Eastwood, Clint;18.0;No
1986;105.0;Ratboy;Drama;Townsend, Robert;Locke, Sondra;Locke, Sondra;1.0;No
1938;96.0;Lady Vanishes;Mystery;Redgrave, Michael;Lockwood, Margaret;Hitchcock, Alfred;27.0;No
1987;95.0;Kitchen Toto, THe;Drama;Peck, Bob;Logan, Phyllis;Hook, Harry;41.0;No
1959;88.0;Carlton-Browne of the F.O.;Comedy;Terry, Thomas;Lohr, Marie;Boulting, Roy;63.0;No
1929;68.0;Racketeer;Drama;Armstrong, Robert;Lombard, Carole;Higgin, Howard;2.0;No
1941;95.0;Mr. & Mrs. Smith;Comedy;Montgomery, Robert;Lombard, Carole;Hitchcock, Alfred;3.0;No
1986;132.0;Alrededor de Medianoche;Drama;Cluzet, Francois;McKee, Lonette;Rayfield, David;47.0;No
1982;101.0;Losin' It;Comedy;Cruise, Tom;Long, Shelley;Hanson, Curtis;4.0;No
1987;114.0;Into the Homeland;Action;Boothe, Powers;Longstreth, Emily;Glatter, Lesli Linka;34.0;No
1991;60.0;Boxing Babes;Action;Nichol, Robin;Lords, Traci;Dell, Stewart;9.0;No
1991;94.0;Shock 'em Dead;Horror;Donahue, Troy;Lords, Traci;Freed, Mark;31.0;No
1960;101.0;Heller in Pink Tights;Drama;Quinn, Anthony;Loren, Sophia;Cukor, George;52.0;No
1961;100.0;Two Women;Drama;Belmondo, Jean-Paul;Loren, Sophia;De Sica, Vittorio;83.0;Yes
1954;107.0;Gold of Naples, The;Drama;De Sica, Vittorio;Loren, Sophia;De Sica, Vittorio;40.0;No
1963;118.0;Yesterday, Today & Tomorrow;Comedy;Mastroianni, Marcello;Loren, Sophia;De Sica, Vittorio;73.0;Yes
1957;109.0;Legend of the Lost;Action;Wayne, John;Loren, Sophia;Hathaway, Henry;84.0;No
1978;111.0;Brass Target;Action;Cassavetes, John;Loren, Sophia;Hough, John;53.0;No
1964;188.0;Fall of the Roman Empire, The;Drama;Boyd, Stphen;Loren, Sophia;Mann, Anthony;62.0;No
1961;172.0;El Cid;Drama;Heston, Charlton;Loren, Sophia;Mann, Anthony;10.0;No
1958;114.0;Desire under the Elms;Drama;Perkins, Anthony;Loren, Sophia;Mann, Delbert;13.0;No
1953;92.0;Two Nights with Cleo;Drama;Sordi, Alberto;Loren, Sophia;Mattoli, Mario;54.0;No
1977;91.0;Angela;Drama;Railsback, Steve;Loren, Sophia;Sagal, Boris;80.0;No
1977;105.0;A Special Day;Drama;Mastroianni, Marcello;Loren, Sophia;Scola, Ettore;80.0;Yes
1979;112.0;Blood Feud;Action;Mastroianni, Marcello;Loren, Sophia;Wertmuller, Lina;52.0;No
1986;94.0;RAD;Action;Allen, Bill;Loughlin, Lori;Needham, Hal;75.0;No
1979;85.0;Cocaine Cowboys;Action;Palance, Jack;Love, Suzanna;Lommel, Ulli;17.0;No
1943;64.0;Ape Man, The;Horror;Ford, Wallace;Lugosi, Bela;Beaudine, William;83.0;No
1986;125.0;Mission, The;Drama;De Niro, Robert;Lunghi, Cherie;Joffe, Roland;20.0;No
1991;102.0;Curly Sue;Comedy;Belushi, Jim;Lynch, Kelly;Hughes, John;2.0;No
1962;150.0;Lolita;Drama;Mason, James;Lyon, Sue;Kubrick, Stanley;80.0;No
1989;101.0;Sex, Lies, and Videotape;Drama;Spader, James;MacDowell, Andie;Soderbergh, Steven;70.0;Yes
1990;107.0;Green Card;Comedy;Depardieu, Grard;MacDowell, Andie;Weir, Peter;25.0;No
1988;95.0;Gator Bait II;Action;Muzzcat, Paul;MacKenzie, Jan;Sebastian, Beverly;73.0;No
1979;129.0;Being There;Comedy;Sellers, Peter;MacLaine, Shirley;Ashby, Hal;31.0;Yes
1983;132.0;Terms of Endearment;Drama;Nicholson, Jack;MacLaine, Shirley;Brooks, James L.;32.0;Yes
1967;99.0;Woman Times Seven;Comedy;Sellers, Peter;MacLaine, Shirley;De Sica, Vittorio;36.0;No
1990;101.0;Postcards from the Edge;Comedy;Quaid, Dennis;MacLaine, Shirley;Nichols, Mike;63.0;No
1970;105.0;Two Mules for Sister Sara;Western;Eastwood, Clint;MacLaine, Shirley;Siegel, Don;36.0;No
1939;85.0;Back Door to Heaven;Drama;Ford, Wallace;MacMahon, Aline;Howard, William K.;83.0;No
1992;60.0;A Certain Sacrifice;Music;Pattnosh, Jeremy;Ciccone, Madonna;Lewicki, Steven Jon;24.0;No
1988;83.0;Hot to Trot;Comedy;Goldthwait, Bob;Madsen, Virginia;Dinner, Michael;78.0;No
1986;103.0;Fire with Fire;Drama;Sheffer, Craig;Madsen, Virginia;Gibbins, Duncan;9.0;No
1990;120.0;Hot Spot;Drama;Johnson, Don;Madsen, Virginia;Hopper, Dennis;70.0;No
1974;124.0;Amarcord;Drama;Noel, Magali;Maggio, Pupella;Fellini, Federico;50.0;Yes
1988;85.0;Casablanca Express;Action;Connery, Jason;Maneri, Luisa;Martino, Sergio;33.0;No
1980;94.0;Out of the Blue;Drama;Hopper, Dennis;Manz, Linda;Hopper, Dennis;4.0;No
1949;110.0;Sands of Iwo Jima;War;Wayne, John;Mara, Adele;Dwan, Allan;72.0;No
1981;104.0;Hand, The;Horror;Caine, Michael;Marcovicci, Andrea;Stone, Oliver;44.0;No
1989;81.0;Deep Cover;Mystery;Conti, Tom;Markham, Kika;Loncraine, Richard;15.0;No
1955;92.0;Il Bidone;Drama;Crawford, Broderick;Masina, Guilietta;Fellini, Federico;70.0;No
1986;130.0;El Guerrero Solitario;Drama;Eastwood, Clint;Mason, Marsha;Eastwood, Clint;77.0;No
1986;130.0;Heartbreak Ridge;War;Eastwood, Clint;Mason, Marsha;Eastwood, Clint;61.0;No
1977;110.0;Goodbye Girl, The;Comedy;Dreyfuss, Richard;Mason, Marsha;Ross, Herbert;6.0;Yes
1991;144.0;Robin Hood: Prince of Thieves;Action;Costner, Kevin;Mastrantonio, Mary Elizabeth;Costner, Kevin;8.0;No
1992;101.0;White Sands;Drama;Dafoe, Willem;Mastrantonio, Mary Elizabeth;Donaldson, Roger;38.0;No
1986;119.0;Color of Money, The;Drama;Newman, Paul;Mastrantonio, Mary Elizabeth;Scorsese, Martin;6.0;Yes
1986;119.0;Children of a Lesser God;Drama;Hurt, William;Matlin, Marlee;Haines, Randa;20.0;Yes
1989;88.0;Women on the Verge of a Nervous Breakdown;Comedy;Banderas, Antonio;Maura, Carmen;Almodvar, Pedro;65.0;No
1980;86.0;Pepi Luci Bom;Comedy;Rotaeta, Flix;Maura, Carmen;Almodvar, Pedro;66.0;No
1989;100.0;Forgotten, The;Mystery;Carradine, Keith;Maynard, Mimi;Keach, James;69.0;No
1990;92.0;After the Shock;Drama;Kotto, Yaphet;McClanahan, Rue;Sherman, Gary;28.0;No
1992;95.0;Riff Raff;Comedy;Carlyle, Robert;McCourt, Emer;Loach, Ken;71.0;No
1967;81.0;Glory Stompers, The;Action;Hopper, Dennis;McCrea, Jody;Lanza, Anthony M.;27.0;No
1990;181.0;Dances with Wolves;Western;Costner, Kevin;McDonnell, Mary;Costner, Kevin;8.0;Yes
1987;130.0;Matewan;Drama;Jones, James Earl;McDonnell, Mary;Sayles, John;81.0;No
1988;120.0;Mississippi Burning;Drama;Hackman, Gene;McDormand, Frances;Parker, Alan;41.0;Yes
1975;130.0;Eiger Sanction, The;Action;Eastwood, Clint;McGee, Vonetta;Eastwood, Clint;69.0;No
1988;109.0;Unsettled Land;Drama;Shea, John;McGillis, Kelly;Barbash, Uri;75.0;No
1991;98.0;Cat Chaser;Drama;Weller, Peter;McGillis, Kelly;Ferrera, Abel;6.0;No
1988;110.0;Accused, The;Drama;Coulson, Bernie;McGillis, Kelly;Kaplan, Jonathan;71.0;Yes
1989;109.0;Winter People;Drama;Russell, Kurt;McGillis, Kelly;Kotcheff, Ted;30.0;No
1983;101.0;Reuben, Reuben;Comedy;Conti, Tom;McGillis, Kelly;Miller, Robert Ellis;2.0;No
1987;102.0;Made in Heaven;Fantasy;Hutton, Timothy;McGillis, Kelly;Rudolph, Alan;57.0;No
1986;109.0;Top Gun;Action;Cruise, Tom;McGillis, Kelly;Scott, Tony;8.0;No
1985;112.0;Witness;Drama;Ford, Harrison;McGillis, Kelly;Weir, Peter;59.0;No
1984;109.0;Racing with the Moon;Drama;Penn, Sean;McGovern, Elizabeth;Benjamin, Richard;50.0;No
1983;98.0;Lovesick;Comedy;Moore, Dudley;McGovern, Elizabeth;Brickman, Marshall;51.0;No
1965;199.0;Greatest Story Ever Told, The;Drama;Sydow, Max von;McGuire, Dorothy;Stevens, George;26.0;No
1989;105.0;Hawks;Drama;Dalton, Timothy;McTeer, Janet;Miller, Robert Ellis;11.0;No
1981;91.0;So Fine;Comedy;O'Neal, Ryan;Melato, Mariangela;Bergman, Andrew;17.0;No
1957;89.0;Paths of Glory;Drama;Douglas, Kirk;Menjou, Adolphe;Kubrick, Stanley;47.0;No
1964;120.0;Tom Jones;Drama;Ustinov, Peter;Mercouri, Melina;Dassin, Jules;39.0;Yes
1975;103.0;Sunshine Boys, The;Comedy;Burns, George;Meredith, Lee;Ross, Herbert;35.0;Yes
1988;98.0;Caddyshack 2;Comedy;Mason, Jackie;Merrill, Dina;Arkush, Allan;34.0;No
1990;117.0;Internal Affairs;Drama;Gere, Richard;Metcalf, Laurie;Figgis, Mike;3.0;No
1991;206.0;JFK;Drama;Costner, Kevin;Metcalf, Laurie;Stone, Oliver;78.0;No
1991;97.0;New Jack City;Action;Snipes, Wesley;Michele, Michael;Van Peebles, Mario;80.0;No
1987;118.0;Hope & Glory;War;Hayman, David;Miles, Sarah;Boorman, John;3.0;No
1970;194.0;Ryan's Daughter;Drama;Mitchum, Robert;Miles, Sarah;Lean, David;81.0;Yes
1973;127.0;Man Who Loved Cat Dancing, The;Western;Reynolds, Burt;Miles, Sarah;Sarafian, Richard C.;40.0;No
1962;123.0;Man Who Shot Liberty Valance, The;Western;Stewart, James;Miles, Vera;Ford, John;85.0;No
1989;102.0;Dead-Bang;Action;Johnson, Don;Miller, Penelope Ann;Frankenheimer, John;9.0;No
1988;90.0;Big Top Pee-wee;Comedy;Reubens, Paul;Miller, Penelope Ann;Kleiser, Randal;17.0;No
1960;103.0;Time Machine, The;Science Fiction;Taylor, Rod;Mimieux, Yvette;Pal, George;88.0;No
1972;128.0;Cabaret;Drama;Grey, Joel;Minnelli, Liza;Fosse, Bob;59.0;Yes
1981;97.0;Arthur;Comedy;Moore, Dudley;Minnelli, Liza;Gordon, Steve;79.0;Yes
1976;97.0;A Matter of Time;Drama;Boyer, Charles;Minnelli, Liza;Minnelli, Vincente;70.0;No
1977;137.0;New York, New York;Drama;De Niro, Robert;Minnelli, Liza;Scorsese, Martin;8.0;No
1989;89.0;Nightmare on Elm Street, Pt. 5, The Dream Child;Horror;Englund, Robert;Minter, Kelly Jo;Hopkins, Stephen;41.0;No
1980;100.0;Fiendish Plot of Dr. Fu Manchu, The;Comedy;Sellers, Peter;Mirren, Helen;Haggard, Piers;29.0;No
1991;240.0;Four American Composers;Music;Cage, John;Monk, Meredith;Greenaway, Peter;3.0;No
1950;112.0;Asphalt Jungle, The;Action;Hayden, Sterling;Monroe, Marilyn;Huston, John;77.0;No
1992;61.0;Ladies of the Chorus;Music;Garr, Eddie;Monroe, Marilyn;Karlson, Phil;60.0;No
1953;95.0;How to Marry a Millionaire;Comedy;Powell, William;Monroe, Marilyn;Negulesco, Jean;65.0;No
1991;94.0;Nothing But Trouble;Comedy;Candy, John;Moore, Demi;Aykroyd, Dan;25.0;No
1987;109.0;Wisdom;Action;Estevez, Emilio;Moore, Demi;Estevez, Emilio;25.0;No
1986;94.0;One Crazy Summer;Comedy;Cusack, John;Moore, Demi;Holland, Savage Steve;61.0;No
1989;110.0;We're No Angels;Comedy;De Niro, Robert;Moore, Demi;Jordan, Neil;51.0;No
1984;102.0;No Small Affair;Comedy;Cryer, Jon;Moore, Demi;Schatzberg, Jerry;10.0;No
1990;127.0;Ghost;Science Fiction;Swayze, Patrick;Moore, Demi;Zucker, Jerry;6.0;Yes
1986;113.0;About Last Night;Drama;Lowe, Rob;Moore, Demi;Zwick, Edward;66.0;No
1982;107.0;Six Weeks;Drama;Moore, Dudley;Moore, Mary Tyler;Bill, Tony;73.0;No
1948;89.0;Return of October;Comedy;Ford, Glenn;Moore, Terry;Lewis, Joseph H.;35.0;No
1952;99.0;Come Back, Little Sheba;Drama;Lancaster, Burt;Moore, Terry;Mann, Daniel;50.0;Yes
1974;117.0;Going Places;Drama;Depardieu, Grard;Moreau, Jeanne;Blier, Bertrand;66.0;No
1970;99.0;Monte Walsh;Western;Marvin, Lee;Moreau, Jeanne;Fraker, William A.;29.0;No
1955;100.0;Mr. Arkadin;Drama;Welles, Orson;Mori, Paola;Welles, Orson;80.0;No
1968;90.0;Producers, The;Comedy;Wilder, Gene;Mostel, Zero;Brooks, Mel;33.0;No
1976;94.0;Front, The;Drama;Allen, Woody;Mostel, Zero;Ritt, Martin;70.0;No
1987;86.0;House of the Rising Sun;Drama;Annese, Frank;Moyer, Tawny;Gold, Greg;45.0;No
1988;91.0;In a Shallow Grave;Drama;Biehn, Michael;Mueller, Maureen;Bowser, Kenneth;72.0;No
1974;111.0;Mc Q;Action;Wayne, John;Muldaur, Diana;Sturges, John;73.0;No
1941;85.0;Lady from Louisiana;Drama;Wayne, John;Munson, Ona;Vorhaus, Bernard;38.0;No
1990;102.0;Wait Until Spring Bandini;Drama;Mantegna, Joe;Muti, Ornella;Deruddere, Dominique;29.0;No
1940;105.0;Long Voyage Home, The;Drama;Wayne, John;Natwick, Mildred;Ford, John;88.0;No
1955;100.0;Trouble with Harry, The;Mystery;Forsythe, John;Natwick, Mildred;Hitchcock, Alfred;28.0;No
1987;60.0;Encounters;Drama;Von Bergan, Raven;Navarro, Monica;Marder, Bruce;44.0;No
1963;112.0;Hud;Drama;Newman, Paul;Neal, Patricia;Ritt, Martin;2.0;Yes
1987;83.0;Surf Nazis Must Die;Horror;Brenner, Barry;Neely, Gail;George, Peter;50.0;No
